DATE,PCE Inflation,Core PCE Inflation,type
122,1.379181495,1.151276003,pre
123,1.403282738,1.151276003,pre
124,1.403282738,1.151276003,pre
125,1.403282738,1.151276003,pre
126,1.403282738,1.151276003,pre
129,1.403282738,1.151276003,pre
1210,1.395351612,1.151276003,pre
1211,1.487555881,1.262752537,pre
1212,1.487555881,1.262752537,pre
1213,1.487555881,1.262752537,pre
1216,1.487555881,1.262752537,pre
1217,1.476208217,1.262752537,pre
1218,1.476208217,1.262752537,pre
1219,1.476208217,1.262752537,pre
1220,1.640526584,1.438578198,pre
1223,1.640312254,1.438578198,pre
1224,1.633057587,1.438578198,pre
402,-0.541254454,1.870534966,post
403,-0.246120957,1.870534966,post
406,0.012419519,1.870534966,post
407,-0.0342173,1.870534966,post
408,-0.542637501,1.870534966,post
409,-0.498621938,1.870534966,post
410,-0.992780217,1.204162686,post
413,-1.010162064,1.204162686,post
414,-1.08219439,1.204162686,post
415,-1.168455642,1.204162686,post
416,-1.276999855,1.204162686,post
417,-1.267765497,1.204162686,post
420,-1.236524109,1.204162686,post
421,-1.415655239,1.204162686,post
422,-1.759461202,1.204162686,post
423,-1.656824613,1.204162686,post
424,-1.582958898,1.204162686,post
427,-1.558447531,1.204162686,post
428,-1.700631105,1.204162686,post
429,-1.663802615,1.204162686,post
430,-1.680674854,1.084327737,post
501,-1.56847989,1.084327737,post
504,-1.407624123,1.084327737,post
505,-1.502191267,1.084327737,post
506,-1.430818587,1.084327737,post
507,-1.47477668,1.084327737,post
508,-1.488246897,1.084327737,post
